generos,data_lancamento,avaliacao_usuarios,receita,classificacao,titulo,streaming
"Any[""Animação"", ""Comédia"", ""Família""]",2023-11-17,7.7,0,Sem classificação,Leo,"[""Netflix""]"
"Any[""Drama"", ""História""]",2023-07-19,8.2,950200000,16,Oppenheimer,"[""NOW""]"
"Any[""Animação"", ""Comédia"", ""Família"", ""Fantasia"", ""Música""]",2023-10-12,7.2,145800000,L,Trolls 3 - Juntos Novamente,"[""Sem informações de streaming""]"
"Any[""Terror"", ""Mistério""]",2023-10-25,7.8,283100000,14,Five Nights at Freddy's - O Pesadelo Sem Fim,"[""Sem informações de streaming""]"
"Any[""Ação"", ""Ficção científica"", ""Thriller""]",2023-09-27,7.1,104000000,14,Resistência,"[""Sem informações de streaming""]"
"Any[""Ação"", ""Aventura"", ""Thriller""]",2023-09-15,6.4,58000000,18,Os Mercenários 4,"[""NOW""]"
"Any[""Ação"", ""Crime"", ""Thriller""]",2023-05-17,7.2,704709660,14,Velozes & Furiosos 10,"[""Sem informações de streaming""]"
"Any[""Ação"", ""Thriller""]",2023-07-08,7.6,567148955,12,Missão: Impossível - Acerto de Contas Parte 1,"[""NOW""]"
"Any[""Drama"", ""História"", ""Guerra""]",2023-11-22,6.5,78800000,16,Napoleão,"[""Sem informações de streaming""]"
"Any[""Ação"", ""Thriller""]",2023-08-04,5.3,0,Sem classificação,O Coletivo,"[""Sem informações de streaming""]"
"Any[""Ação"", ""Drama"", ""História""]",2021-12-03,7.2,0,Sem classificação,Khutulun - A Princesa Guerreira,"[""Looke"", ""Looke Amazon Channel""]"
"Any[""Aventura"", ""Animação"", ""Comédia"", ""Família"", ""Fantasia""]",2023-04-05,7.7,1355725263,L,Super Mario Bros. O Filme,"[""Sem informações de streaming""]"
"Any[""Ação"", ""Drama"", ""Romance""]",2023-11-15,7.3,169082191,14,Jogos Vorazes: A Cantiga dos Pássaros e das Serpentes,"[""Sem informações de streaming""]"
"Any[""Ação"", ""Crime"", ""Thriller""]",2023-08-30,7.4,190000000,18,O Protetor: Capítulo Final,"[""NOW""]"
"Any[""Ação"", ""Aventura"", ""Thriller""]",2023-09-07,7.2,136698671,Sem classificação,Jawan,"[""Netflix"", ""Netflix basic with Ads""]"
